mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
3ca6f628302a,1678611390.166241,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-574-145j),(-551-231j),(-518-292j),(-413-421j),(-305-460j),(-224-454j),(-171-424j),(-162-370j),(-160-336j),(-198-295j),(-274-265j),(-392-276j),(-453-264j),(-534-267j),(-617-275j),(-675-288j),(-725-299j),(-721-307j),(-713-310j),(-701-290j),(-821-291j),(-765-245j),(-668-151j),(-581-67j),(-473+9j),(-415+112j),(-355+153j),(-245+81j),(64-3264j),(368+136j),(550+349j),(620+497j),(639+596j),(676+643j),(659+649j),(589+615j),(588+570j),(426+421j),(397+333j),(354+232j),(354+121j),(341+10j),(355-88j),(342-156j),(372-232j),(415-285j),(400-261j),(430-256j),(465-232j),(463-174j),(497-139j),(477-50j),(454+38j),(381+138j),(287+209j),(193+254j),(86+281j),0j,8175j,0j
3ca6f628302a,1678611390.333239,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(61+668j),(79+635j),(116+612j),(-9+565j),(-60+506j),(-52+444j),(-24+407j),(62+373j),(120+376j),(200+398j),(306+440j),(426+533j),(495+554j),(563+577j),(637+617j),(671+619j),(703+607j),(683+567j),(665+497j),(642+420j),(755+372j),(692+244j),(610+54j),(536-99j),(427-226j),(399-350j),(375-380j),(292-223j),(64-3264j),(-521-47j),(-795-269j),(-903-391j),(-916-446j),(-949-445j),(-917-406j),(-844-335j),(-775-213j),(-539-98j),(-452+17j),(-367+123j),(-298+247j),(-228+367j),(-166+468j),(-104+529j),(-77+596j),(-81+660j),(-70+606j),(-77+603j),(-112+600j),(-130+579j),(-170+533j),(-203+460j),(-224+392j),(-248+294j),(-251+221j),(-277+214j),(-303+227j),0j,8175j,0j
3ca6f628302a,1678611390.467315,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(169-530j),(196-493j),(194-465j),(256-336j),(242-236j),(181-186j),(123-191j),(55-249j),(20-338j),(20-432j),(33-519j),(73-639j),(137-730j),(193-774j),(269-783j),(316-770j),(357-734j),(365-663j),(341-578j),(300-500j),(290-495j),(139-380j),(29-312j),(-131-267j),(-297-250j),(-356-271j),(-352-312j),(-188-309j),(64-3264j),(-206+460j),(-522+554j),(-710+520j),(-806+445j),(-813+357j),(-767+279j),(-622+194j),(-545+181j),(-311+146j),(-183+162j),(-50+206j),(39+240j),(123+316j),(183+400j),(215+504j),(201+577j),(147+599j),(80+595j),(2+593j),(-86+570j),(-161+490j),(-218+413j),(-260+311j),(-263+205j),(-216+118j),(-153+70j),(-123-23j),(-80-106j),0j,8175j,0j
3ca6f628302a,1678611390.690936,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(222-472j),(275-349j),(261-268j),(182-57j),(6-34j),(-82-169j),(-40-367j),(121-483j),(411-531j),(671-411j),(866-194j),(1085+136j),(997+478j),(787+760j),(511+956j),(177+971j),(-105+861j),(-275+627j),(-328+374j),(-255+158j),(-79+21j),(170-3j),(430+131j),(538+371j),(466+655j),(237+904j),(-165+879j),(-403+410j),(64-3264j),(503+432j),(292+911j),(-123+986j),(-443+796j),(-587+514j),(-557+216j),(-342-18j),(-95-111j),(121-31j),(280+124j),(322+341j),(257+591j),(58+747j),(-213+805j),(-489+689j),(-693+489j),(-813+219j),(-666-70j),(-526-290j),(-309-397j),(-74-390j),(84-275j),(148-89j),(64+76j),(-128+106j),(-267-45j),(-339-112j),(-363-237j),0j,8175j,0j
3ca6f628302a,1678611390.857405,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(495-370j),(471-349j),(445-346j),(462-221j),(438-136j),(400-103j),(375-116j),(310-166j),(342-225j),(362-284j),(387-340j),(470-414j),(508-479j),(550-517j),(584-512j),(593-514j),(589-502j),(559-475j),(486-442j),(416-402j),(387-457j),(229-412j),(93-405j),(-61-401j),(-217-420j),(-257-447j),(-229-468j),(-85-375j),(64-3264j),(-326+386j),(-631+407j),(-772+337j),(-811+283j),(-784+207j),(-691+164j),(-486+110j),(-410+152j),(-188+153j),(-57+202j),(72+272j),(142+341j),(215+421j),(244+509j),(267+584j),(231+640j),(150+642j),(86+586j),(12+557j),(-59+495j),(-113+387j),(-136+310j),(-128+210j),(-88+124j),88j,(67+119j),(134+62j),(212+26j),0j,8175j,0j
3ca6f628302a,1678611391.214252,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(359+776j),(344+743j),(354+690j),(199+686j),(103+613j),(82+504j),(103+390j),(166+287j),(242+174j),(338+67j),(436-57j),(589-215j),(651-317j),(709-433j),(747-566j),(732-655j),(690-719j),(596-725j),(490-723j),(367-690j),(251-739j),(56-573j),(-105-411j),(-261-220j),(-356-59j),(-463+121j),(-506+188j),(-388+69j),(64-3264j),(503+275j),(680+560j),(758+679j),(755+695j),(771+619j),(721+488j),(588+332j),(512+159j),(301+20j),(160-119j),(10-233j),(-163-341j),(-310-416j),(-440-484j),(-505-493j),(-570-508j),(-611-502j),(-541-445j),(-506-416j),(-459-390j),(-351-315j),(-292-266j),(-201-191j),(-130-87j),(-96+4j),(-112+103j),(-60+199j),(-26+302j),0j,8175j,0j
3ca6f628302a,1678611391.381862,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-478-207j),(-474-220j),(-478-224j),(-408-287j),(-351-303j),(-310-282j),(-314-249j),(-317-167j),(-378-150j),(-432-106j),(-484-61j),(-590-27j),(-654+32j),(-697+75j),(-716+102j),(-714+143j),(-714+184j),(-677+217j),(-597+261j),(-515+290j),(-505+377j),(-326+386j),(-208+427j),(-58+450j),(109+477j),(172+483j),(183+464j),(74+360j),(64-3264j),(262-403j),(521-502j),(634-510j),(678-518j),(649-481j),(564-457j),(419-381j),(301-392j),(91-292j),(-52-266j),(-200-236j),(-308-210j),(-427-207j),(-525-206j),(-606-216j),(-654-234j),(-635-259j),(-562-255j),(-525-268j),(-459-273j),(-397-266j),(-289-247j),(-205-203j),(-148-130j),(-137-40j),(-173+25j),(-152+41j),(-153+46j),0j,8175j,0j
3ca6f628302a,1678611391.544190,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-346-601j),(-388-548j),(-429-467j),(-326-522j),(-235-516j),(-193-471j),(-183-414j),(-220-338j),(-260-285j),(-333-215j),(-390-134j),(-495-28j),(-578+55j),(-635+148j),(-668+256j),(-668+339j),(-671+406j),(-631+449j),(-555+499j),(-453+516j),(-392+618j),(-222+598j),(-65+516j),(101+449j),(258+393j),(365+287j),(390+230j),(263+217j),(64-3264j),(-121-444j),(-79-700j),(-64-810j),(-64-810j),(-131-809j),(-195-729j),(-228-558j),(-325-453j),(-317-244j),(-349-88j),(-374+76j),(-354+231j),(-339+358j),(-325+467j),(-333+543j),(-299+600j),(-252+615j),(-212+565j),(-194+541j),(-158+507j),(-115+447j),(-85+385j),(-47+333j),(4+288j),(36+286j),(57+312j),(127+238j),(192+165j),0j,8175j,0j
3ca6f628302a,1678611391.870826,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-347+522j),(-285+532j),(-211+538j),(-267+470j),(-273+398j),(-234+351j),(-172+334j),(-76+313j),(4+340j),(99+341j),(216+332j),(345+332j),(471+325j),(573+286j),(656+225j),(718+151j),(760+80j),(759+0j),(722-94j),(659-174j),(675-275j),(490-343j),(346-373j),(155-390j),(-35-396j),(-169-342j),(-244-293j),(-173-247j),(64-3264j),(15+440j),(-81+695j),(-108+832j),(-91+896j),(-35+892j),(45+849j),(106+695j),(212+616j),(248+381j),(281+211j),(301+41j),(285-113j),(272-269j),(245-404j),(237-519j),(200-603j),(153-634j),(119-620j),(100-617j),(81-594j),(78-526j),(64-484j),(61-417j),(48-340j),(12-288j),(-22-258j),(-68-231j),(-128-203j),0j,8175j,0j
3ca6f628302a,1678611392.264831,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-347+613j),(-346+560j),(-323+514j),(-441+399j),(-472+298j),(-470+199j),(-423+140j),(-332+115j),(-280+115j),(-204+145j),(-120+190j),(-39+304j),(41+367j),(113+451j),(193+528j),(261+585j),(302+630j),(333+655j),(343+643j),(368+618j),(479+668j),(439+540j),(449+439j),(411+313j),(356+196j),(328+48j),(282-39j),(193-31j),(64-3264j),(-309-114j),(-485-263j),(-580-355j),(-647-420j),(-705-416j),(-725-391j),(-662-344j),(-680-264j),(-517-168j),(-468-75j),(-396+5j),(-337+111j),(-337+111j),(-197+283j),(-145+346j),(-92+400j),(-49+458j),(-25+441j),(-16+456j),(-18+465j),(-23+444j),(-14+451j),(-46+434j),(-77+402j),(-133+351j),(-178+298j),(-231+305j),(-290+315j),0j,8175j,0j
3ca6f628302a,1678611392.498026,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(-648-481j),(-629-506j),(-615-496j),(-473-600j),(-337-609j),(-252-561j),(-220-483j),(-226-376j),(-264-297j),(-319-186j),(-388-61j),(-496+81j),(-594+199j),(-659+321j),(-713+455j),(-722+555j),(-737+647j),(-702+693j),(-630+738j),(-534+750j),(-494+872j),(-312+840j),(-141+705j),(40+587j),(210+490j),(337+339j),(388+239j),(279+212j),(64-3264j),(-191-480j),(-183-801j),(-188-965j),(-212-1047j),(-282-1039j),(-353-981j),(-413-836j),(-494-717j),(-461-449j),(-477-280j),(-492-105j),(-465+81j),(-446+246j),(-414+394j),(-391+503j),(-357+597j),(-290+647j),(-242+630j),(-205+641j),(-181+635j),(-142+595j),(-125+558j),(-111+514j),(-96+464j),(-111+450j),(-133+424j),(-144+343j),(-165+259j),0j,8175j,0j
3ca6f628302a,1678611392.790974,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(418+668j),(389+638j),(382+587j),(208+574j),(93+512j),(49+407j),(85+318j),(161+194j),(259+136j),(376+67j),(481+5j),(627-50j),(763-100j),(844-144j),(902-187j),(920-234j),(928-276j),(906-286j),(811-327j),(726-355j),(717-428j),(499-436j),(325-422j),(114-417j),(-106-414j),(-233-372j),(-296-337j),(-201-312j),(64-3264j),(-67+539j),(-280+796j),(-401+924j),(-452+989j),(-446+1002j),(-385+965j),(-280+765j),(-177+791j),(-41+549j),(79+428j),(179+295j),(265+157j),(357+39j),(443-86j),(538-188j),(605-264j),(611-291j),(605-297j),(614-288j),(602-272j),(573-215j),(549-165j),(499-101j),(439-42j),(357-15j),(284+8j),(240+88j),(202+173j),0j,8175j,0j
3ca6f628302a,1678611392.919244,(-3072-7172j),(5122+1030j),(4097+3070j),(4097-2051j),(284+705j),(261+732j),(249+732j),(92+734j),(-17+685j),(-51+597j),(-48+530j),(19+439j),(71+387j),(170+311j),(267+216j),(413+116j),(522+22j),(616-94j),(696-208j),(743-313j),(778-421j),(774-523j),(719-594j),(672-647j),(670-779j),(501-769j),(367-713j),(209-630j),(62-532j),(-80-370j),(-148-231j),(-141-150j),(64-3264j),(166+317j),(230+576j),(300+745j),(377+872j),(452+905j),(526+909j),(530+802j),(611+767j),(525+549j),(499+429j),(453+300j),(366+156j),(277+24j),(187-100j),(99-220j),(11-317j),(-91-403j),(-132-441j),(-166-500j),(-189-545j),(-136-511j),(-139-576j),(-76-567j),(8-537j),(104-487j),(194-395j),(224-328j),(252-240j),0j,8175j,0j
